Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Download Sorter UI\Download Sorter UI.csproj,File,Download Sorter UI\Forms\MainScreen.Designer.cs,48,12,M:System.Windows.Forms.ToolStripItemCollection.AddRange(System.Windows.Forms.ToolStripItem[]),,,,,"trayOptions.Items.AddRange(new ToolStripItem[] { exitToolStripMenuItem, sortNowToolStripMenuItem });"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Download Sorter UI\Download Sorter UI.csproj,File,Download Sorter UI\Forms\MainScreen.Designer.cs,44,12,T:System.Windows.Forms.NotifyIcon,,,,,Notification_Informer.Visible = true;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Download Sorter UI\Download Sorter UI.csproj,File,Download Sorter UI\Forms\MainScreen.Designer.cs,44,12,P:System.Windows.Forms.NotifyIcon.Visible,,,,,Notification_Informer.Visible = true;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Download Sorter UI\Download Sorter UI.csproj,File,Download Sorter UI\Forms\MainScreen.Designer.cs,43,12,T:System.Windows.Forms.NotifyIcon,,,,,"Notification_Informer.Text = ""notifyIcon1"";"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Download Sorter UI\Download Sorter UI.csproj,File,Download Sorter UI\Forms\MainScreen.Designer.cs,43,12,P:System.Windows.Forms.NotifyIcon.Text,,,,,"Notification_Informer.Text = ""notifyIcon1"";"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Download Sorter UI\Download Sorter UI.csproj,File,Download Sorter UI\Forms\MainScreen.Designer.cs,42,12,T:System.Windows.Forms.NotifyIcon,,,,,"Notification_Informer.Icon = (Icon)resources.GetObject(""Notification_Informer.Icon"");"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Download Sorter UI\Download Sorter UI.csproj,File,Download Sorter UI\Forms\MainScreen.Designer.cs,42,12,T:System.Drawing.Icon,,,,,"Notification_Informer.Icon = (Icon)resources.GetObject(""Notification_Informer.Icon"");"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Download Sorter UI\Download Sorter UI.csproj,File,Download Sorter UI\Forms\MainScreen.Designer.cs,42,12,P:System.Windows.Forms.NotifyIcon.Icon,,,,,"Notification_Informer.Icon = (Icon)resources.GetObject(""Notification_Informer.Icon"");"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Download Sorter UI\Download Sorter UI.csproj,File,Download Sorter UI\Forms\MainScreen.Designer.cs,41,12,T:System.Windows.Forms.ContextMenuStrip,,,,,Notification_Informer.ContextMenuStrip = trayOptions;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Download Sorter UI\Download Sorter UI.csproj,File,Download Sorter UI\Forms\MainScreen.Designer.cs,41,12,T:System.Windows.Forms.NotifyIcon,,,,,Notification_Informer.ContextMenuStrip = trayOptions;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Download Sorter UI\Download Sorter UI.csproj,File,Download Sorter UI\Forms\MainScreen.Designer.cs,41,12,T:System.Windows.Forms.ContextMenuStrip,,,,,Notification_Informer.ContextMenuStrip = trayOptions;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Download Sorter UI\Download Sorter UI.csproj,File,Download Sorter UI\Forms\MainScreen.Designer.cs,41,12,P:System.Windows.Forms.NotifyIcon.ContextMenuStrip,,,,,Notification_Informer.ContextMenuStrip = trayOptions;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Download Sorter UI\Download Sorter UI.csproj,File,Download Sorter UI\Forms\MainScreen.Designer.cs,37,12,M:System.Windows.Forms.Control.SuspendLayout,,,,,SuspendLayout();
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Download Sorter UI\Download Sorter UI.csproj,File,Download Sorter UI\Forms\MainScreen.Designer.cs,36,12,T:System.Windows.Forms.ContextMenuStrip,,,,,trayOptions.SuspendLayout();
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Download Sorter UI\Download Sorter UI.csproj,File,Download Sorter UI\Forms\MainScreen.Designer.cs,36,12,M:System.Windows.Forms.Control.SuspendLayout,,,,,trayOptions.SuspendLayout();
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Download Sorter UI\Download Sorter UI.csproj,File,Download Sorter UI\Forms\MainScreen.Designer.cs,35,12,T:System.Windows.Forms.ToolStripMenuItem,,,,,sortNowToolStripMenuItem = new ToolStripMenuItem();
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Download Sorter UI\Download Sorter UI.csproj,File,Download Sorter UI\Forms\MainScreen.Designer.cs,35,12,M:System.Windows.Forms.ToolStripMenuItem.#ctor,,,,,sortNowToolStripMenuItem = new ToolStripMenuItem();
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Download Sorter UI\Download Sorter UI.csproj,File,Download Sorter UI\Forms\MainScreen.Designer.cs,35,12,T:System.Windows.Forms.ToolStripMenuItem,,,,,sortNowToolStripMenuItem = new ToolStripMenuItem();
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Download Sorter UI\Download Sorter UI.csproj,File,Download Sorter UI\Forms\MainScreen.Designer.cs,34,12,T:System.Windows.Forms.ToolStripMenuItem,,,,,exitToolStripMenuItem = new ToolStripMenuItem();
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Download Sorter UI\Download Sorter UI.csproj,File,Download Sorter UI\Forms\MainScreen.Designer.cs,34,12,M:System.Windows.Forms.ToolStripMenuItem.#ctor,,,,,exitToolStripMenuItem = new ToolStripMenuItem();
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Download Sorter UI\Download Sorter UI.csproj,File,Download Sorter UI\Forms\MainScreen.Designer.cs,34,12,T:System.Windows.Forms.ToolStripMenuItem,,,,,exitToolStripMenuItem = new ToolStripMenuItem();
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Download Sorter UI\Download Sorter UI.csproj,File,Download Sorter UI\Forms\MainScreen.Designer.cs,33,12,T:System.Windows.Forms.ContextMenuStrip,,,,,trayOptions = new ContextMenuStrip(components);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Download Sorter UI\Download Sorter UI.csproj,File,Download Sorter UI\Forms\MainScreen.Designer.cs,33,12,M:System.Windows.Forms.ContextMenuStrip.#ctor(System.ComponentModel.IContainer),,,,,trayOptions = new ContextMenuStrip(components);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Download Sorter UI\Download Sorter UI.csproj,File,Download Sorter UI\Forms\MainScreen.Designer.cs,33,12,T:System.Windows.Forms.ContextMenuStrip,,,,,trayOptions = new ContextMenuStrip(components);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Download Sorter UI\Download Sorter UI.csproj,File,Download Sorter UI\Forms\MainScreen.Designer.cs,32,12,T:System.Windows.Forms.NotifyIcon,,,,,Notification_Informer = new NotifyIcon(components);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Download Sorter UI\Download Sorter UI.csproj,File,Download Sorter UI\Forms\MainScreen.Designer.cs,32,12,M:System.Windows.Forms.NotifyIcon.#ctor(System.ComponentModel.IContainer),,,,,Notification_Informer = new NotifyIcon(components);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Download Sorter UI\Download Sorter UI.csproj,File,Download Sorter UI\Forms\MainScreen.Designer.cs,32,12,T:System.Windows.Forms.NotifyIcon,,,,,Notification_Informer = new NotifyIcon(components);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Download Sorter UI\Download Sorter UI.csproj,File,Download Sorter UI\Forms\MainScreen.Designer.cs,19,12,M:System.Windows.Forms.Form.Dispose(System.Boolean),,,,,base.Dispose(disposing);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Download Sorter UI\Download Sorter UI.csproj,File,Download Sorter UI\Forms\MainScreen.cs,15,12,T:System.Windows.Forms.NotifyIcon,,,,,Notification_Informer.ShowBalloonTip(500);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Download Sorter UI\Download Sorter UI.csproj,File,Download Sorter UI\Forms\MainScreen.cs,15,12,M:System.Windows.Forms.NotifyIcon.ShowBalloonTip(System.Int32),,,,,Notification_Informer.ShowBalloonTip(500);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Download Sorter UI\Download Sorter UI.csproj,File,Download Sorter UI\Forms\MainScreen.cs,14,12,T:System.Windows.Forms.NotifyIcon,,,,,Notification_Informer.Visible = true;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Download Sorter UI\Download Sorter UI.csproj,File,Download Sorter UI\Forms\MainScreen.cs,14,12,P:System.Windows.Forms.NotifyIcon.Visible,,,,,Notification_Informer.Visible = true;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Download Sorter UI\Download Sorter UI.csproj,File,Download Sorter UI\Forms\MainScreen.cs,13,12,T:System.Windows.Forms.NotifyIcon,,,,,"Notification_Informer.BalloonTipText = ""To disable the app from starting, uncheck Start with Windows checkbox"";"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Download Sorter UI\Download Sorter UI.csproj,File,Download Sorter UI\Forms\MainScreen.cs,13,12,P:System.Windows.Forms.NotifyIcon.BalloonTipText,,,,,"Notification_Informer.BalloonTipText = ""To disable the app from starting, uncheck Start with Windows checkbox"";"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Download Sorter UI\Download Sorter UI.csproj,File,Download Sorter UI\Forms\MainScreen.cs,12,12,T:System.Windows.Forms.NotifyIcon,,,,,"Notification_Informer.BalloonTipTitle = "" The App is in System tray"";"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Download Sorter UI\Download Sorter UI.csproj,File,Download Sorter UI\Forms\MainScreen.cs,12,12,P:System.Windows.Forms.NotifyIcon.BalloonTipTitle,,,,,"Notification_Informer.BalloonTipTitle = "" The App is in System tray"";"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Download Sorter UI\Download Sorter UI.csproj,File,Download Sorter UI\Forms\MainScreen.cs,11,12,P:System.Windows.Forms.Form.ShowInTaskbar,,,,,ShowInTaskbar = false;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Download Sorter UI\Download Sorter UI.csproj,File,Download Sorter UI\Forms\MainScreen.cs,10,12,M:System.Windows.Forms.Control.Hide,,,,,Hide();
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Download Sorter UI\Download Sorter UI.csproj,File,Download Sorter UI\Forms\MainScreen.cs,7,8,M:System.Windows.Forms.Form.#ctor,,,,,"public MainScreen()          {              InitializeComponent();              Hide();              ShowInTaskbar = false;              Notification_Informer.BalloonTipTitle = "" The App is in System tray"";              Notification_Informer.BalloonTipText = ""To disable the app from starting, uncheck Start with Windows checkbox"";              Notification_Informer.Visible = true;              Notification_Informer.ShowBalloonTip(500);              Sort_File();          }"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Download Sorter UI\Download Sorter UI.csproj,File,Download Sorter UI\Forms\MainScreen.cs,5,38,T:System.Windows.Forms.Form,,,,,Form
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Download Sorter UI\Download Sorter UI.csproj,File,Download Sorter UI\obj\Debug\net10.0-windows7.0\System.Windows.Forms.Analyzers.CSharp\System.Windows.Forms.Generators.ApplicationConfigurationGenerator\ApplicationConfiguration.g.cs,26,12,T:System.Windows.Forms.HighDpiMode,,,,,global::System.Windows.Forms.Application.SetHighDpiMode(HighDpiMode.SystemAware);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Download Sorter UI\Download Sorter UI.csproj,File,Download Sorter UI\obj\Debug\net10.0-windows7.0\System.Windows.Forms.Analyzers.CSharp\System.Windows.Forms.Generators.ApplicationConfigurationGenerator\ApplicationConfiguration.g.cs,26,12,T:System.Windows.Forms.HighDpiMode,,,,,global::System.Windows.Forms.Application.SetHighDpiMode(HighDpiMode.SystemAware);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Download Sorter UI\Download Sorter UI.csproj,File,Download Sorter UI\obj\Debug\net10.0-windows7.0\System.Windows.Forms.Analyzers.CSharp\System.Windows.Forms.Generators.ApplicationConfigurationGenerator\ApplicationConfiguration.g.cs,26,12,F:System.Windows.Forms.HighDpiMode.SystemAware,,,,,global::System.Windows.Forms.Application.SetHighDpiMode(HighDpiMode.SystemAware);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Download Sorter UI\Download Sorter UI.csproj,File,Download Sorter UI\obj\Debug\net10.0-windows7.0\System.Windows.Forms.Analyzers.CSharp\System.Windows.Forms.Generators.ApplicationConfigurationGenerator\ApplicationConfiguration.g.cs,26,12,T:System.Windows.Forms.Application,,,,,global::System.Windows.Forms.Application.SetHighDpiMode(HighDpiMode.SystemAware);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Download Sorter UI\Download Sorter UI.csproj,File,Download Sorter UI\obj\Debug\net10.0-windows7.0\System.Windows.Forms.Analyzers.CSharp\System.Windows.Forms.Generators.ApplicationConfigurationGenerator\ApplicationConfiguration.g.cs,26,12,M:System.Windows.Forms.Application.SetHighDpiMode(System.Windows.Forms.HighDpiMode),,,,,global::System.Windows.Forms.Application.SetHighDpiMode(HighDpiMode.SystemAware);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Download Sorter UI\Download Sorter UI.csproj,File,Download Sorter UI\obj\Debug\net10.0-windows7.0\System.Windows.Forms.Analyzers.CSharp\System.Windows.Forms.Generators.ApplicationConfigurationGenerator\ApplicationConfiguration.g.cs,25,12,T:System.Windows.Forms.Application,,,,,global::System.Windows.Forms.Application.SetCompatibleTextRenderingDefault(false);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Download Sorter UI\Download Sorter UI.csproj,File,Download Sorter UI\obj\Debug\net10.0-windows7.0\System.Windows.Forms.Analyzers.CSharp\System.Windows.Forms.Generators.ApplicationConfigurationGenerator\ApplicationConfiguration.g.cs,25,12,M:System.Windows.Forms.Application.SetCompatibleTextRenderingDefault(System.Boolean),,,,,global::System.Windows.Forms.Application.SetCompatibleTextRenderingDefault(false);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Download Sorter UI\Download Sorter UI.csproj,File,Download Sorter UI\obj\Debug\net10.0-windows7.0\System.Windows.Forms.Analyzers.CSharp\System.Windows.Forms.Generators.ApplicationConfigurationGenerator\ApplicationConfiguration.g.cs,24,12,T:System.Windows.Forms.Application,,,,,global::System.Windows.Forms.Application.EnableVisualStyles();
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Download Sorter UI\Download Sorter UI.csproj,File,Download Sorter UI\obj\Debug\net10.0-windows7.0\System.Windows.Forms.Analyzers.CSharp\System.Windows.Forms.Generators.ApplicationConfigurationGenerator\ApplicationConfiguration.g.cs,24,12,M:System.Windows.Forms.Application.EnableVisualStyles,,,,,global::System.Windows.Forms.Application.EnableVisualStyles();
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Download Sorter UI\Download Sorter UI.csproj,File,Download Sorter UI\Program.cs,15,12,T:System.Windows.Forms.Application,,,,,Application.Run(new MainScreen());
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Download Sorter UI\Download Sorter UI.csproj,File,Download Sorter UI\Program.cs,15,12,M:System.Windows.Forms.Application.Run(System.Windows.Forms.Form),,,,,Application.Run(new MainScreen());
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,DownloadSorter\DownloadSorter.csproj,File,DownloadSorter\DownloadSorter.csproj,,,Microsoft.Extensions.Hosting.WindowsServices 7.0.1,,,,,"Microsoft.Extensions.Hosting.WindowsServices, 7.0.1  Recommendation:  Remove Microsoft.Extensions.Hosting.WindowsServices, and replace with new package Microsoft.Extensions.Hosting.WindowsServices 10.0.3"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,DownloadSorter\DownloadSorter.csproj,File,DownloadSorter\DownloadSorter.csproj,,,Newtonsoft.Json 13.0.3,,,,,"Newtonsoft.Json, 13.0.3  Recommendation:  Remove Newtonsoft.Json, and replace with new package Newtonsoft.Json 13.0.4"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,DownloadSorter\DownloadSorter.csproj,File,DownloadSorter\DownloadSorter.csproj,,,,,,,,Current target framework: net7.0-windows Recommended target framework: net10.0--windows
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,DownloadSorterTests\DownloadSorterTests.csproj,File,DownloadSorterTests\DownloadSorterTests.csproj,,,,,,,,Current target framework: net7.0-windows Recommended target framework: net10.0--windows
